o.year,o.category,o.sport,o.country,o.event,o.gender,o.medal
1956,Skiing,Cross Country S,FIN,3x5km relay,W,Gold
1956,Skiing,Cross Country S,FIN,4x10km relay,M,Silver
1956,Skiing,Cross Country S,FIN,50km,M,Silver
1956,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Gold
1956,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Silver
1956,Skating,Figure skating,HUN,pairs,X,Bronze
1956,Bobsleigh,Bobsleigh,ITA,four-man,M,Silver
1956,Bobsleigh,Bobsleigh,ITA,two-man,M,Gold
1956,Bobsleigh,Bobsleigh,ITA,two-man,M,Silver
1956,Skiing,Alpine Skiing,JPN,slalom,M,Silver
1956,Skating,Speed skating,NOR,10000m,M,Silver
1956,Skating,Speed skating,NOR,500m,M,Bronze
1956,Skiing,Cross Country S,NOR,15km,M,Gold
1956,Skiing,Nordic Combined,NOR,individual,M,Gold
1956,Skiing,Nordic Combined,POL,individual,M,Bronze
1956,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
1956,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze
1956,Skiing,Alpine Skiing,SUI,downhill,M,Silver
1956,Skiing,Alpine Skiing,SUI,downhill,W,Gold
1956,Skiing,Alpine Skiing,SUI,downhill,W,Silver
1956,Skiing,Alpine Skiing,SUI,slalom,W,Gold
1956,Skating,Speed skating,SWE,10000m,M,Gold
1956,Skating,Speed skating,SWE,5000m,M,Silver
1956,Skiing,Alpine Skiing,SWE,slalom,M,Bronze
1956,Skiing,Cross Country S,SWE,10km,W,Bronze
1956,Skiing,Cross Country S,SWE,15km,M,Silver
1956,Skiing,Cross Country S,SWE,30km mass start,M,Silver
1956,Skiing,Cross Country S,SWE,3x5km relay,W,Bronze
1956,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
1956,Skiing,Cross Country S,SWE,50km,M,Gold
1956,Skiing,Nordic Combined,SWE,individual,M,Silver
1956,Ice Hockey,Ice Hockey,URS,ice hockey,M,Gold
1956,Skating,Speed skating,URS,10000m,M,Bronze
1956,Skating,Speed skating,URS,1500m,M,Gold
1956,Skating,Speed skating,URS,1500m,M,Gold
1956,Skating,Speed skating,URS,5000m,M,Bronze
1956,Skating,Speed skating,URS,5000m,M,Gold
1956,Skating,Speed skating,URS,500m,M,Gold
1956,Skating,Speed skating,URS,500m,M,Silver
1956,Skiing,Alpine Skiing,URS,slalom,W,Bronze
1956,Skiing,Cross Country S,URS,10km,W,Gold
1956,Skiing,Cross Country S,URS,10km,W,Silver
1956,Skiing,Cross Country S,URS,15km,M,Bronze
1956,Skiing,Cross Country S,URS,30km mass start,M,Bronze
1956,Skiing,Cross Country S,URS,3x5km relay,W,Silver
1956,Skiing,Cross Country S,URS,4x10km relay,M,Gold
1956,Skiing,Cross Country S,URS,50km,M,Bronze
1956,Bobsleigh,Bobsleigh,USA,four-man,M,Bronze
1956,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1956,Skating,Figure skating,USA,individual,M,Bronze
1956,Skating,Figure skating,USA,individual,M,Gold
1956,Skating,Figure skating,USA,individual,M,Silver
1956,Skating,Figure skating,USA,individual,W,Gold
1956,Skating,Figure skating,USA,individual,W,Silver
1960,Skiing,Alpine Skiing,AUT,downhill,W,Bronze
1960,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1960,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
1960,Skiing,Alpine Skiing,AUT,slalom,M,Gold
1960,Skiing,Alpine Skiing,AUT,slalom,M,Silver
1960,Skiing,Ski Jumping,AUT,K90 individual (70m),M,Bronze
1960,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Silver
1960,Skating,Figure skating,CAN,individual,M,Bronze
1960,Skating,Figure skating,CAN,pairs,X,Gold
1960,Skiing,Alpine Skiing,CAN,slalom,W,Gold
1960,Skating,Figure skating,EUA,pairs,X,Silver
1960,Skating,Speed skating,EUA,1000m,W,Silver
1960,Skating,Speed skating,EUA,500m,W,Gold
1960,Skiing,Alpine Skiing,EUA,downhill,M,Silver
1960,Skiing,Alpine Skiing,EUA,downhill,W,Gold
1960,Skiing,Alpine Skiing,EUA,slalom,W,Bronze
1960,Skiing,Nordic Combined,EUA,individual,M,Gold
1960,Skiing,Ski Jumping,EUA,K90 individual (70m),M,Gold
1960,Biathlon,Biathlon,FIN,20km,M,Silver
1960,Skating,Speed skating,FIN,3000m,W,Bronze
1960,Skiing,Cross Country S,FIN,15km,M,Bronze
1960,Skiing,Cross Country S,FIN,3x5km relay,W,Bronze
1960,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
1960,Skiing,Cross Country S,FIN,50km,M,Gold
1960,Skiing,Cross Country S,FIN,50km,M,Silver
1960,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Silver
1960,Skiing,Alpine Skiing,FRA,downhill,M,Bronze
1960,Skiing,Alpine Skiing,FRA,downhill,M,Gold
1960,Skiing,Alpine Skiing,FRA,slalom,M,Bronze
1960,Skiing,Alpine Skiing,ITA,giant slalom,W,Bronze
1960,Skating,Figure skating,NED,individual,W,Silver
1960,Skating,Speed skating,NED,5000m,M,Bronze
1960,Skating,Speed skating,NOR,10000m,M,Gold
1960,Skating,Speed skating,NOR,1500m,M,Gold
1960,Skating,Speed skating,NOR,5000m,M,Silver
1960,Skiing,Cross Country S,NOR,15km,M,Gold
1960,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
1960,Skiing,Nordic Combined,NOR,individual,M,Silver
1960,Skating,Speed skating,POL,1500m,W,Bronze
1960,Skating,Speed skating,POL,1500m,W,Silver
1960,Skiing,Alpine Skiing,SUI,giant slalom,M,Gold
1960,Skiing,Alpine Skiing,SUI,giant slalom,W,Gold
1960,Biathlon,Biathlon,SWE,20km,M,Gold
1960,Skating,Speed skating,SWE,10000m,M,Bronze
1960,Skiing,Cross Country S,SWE,15km,M,Silver
1960,Skiing,Cross Country S,SWE,30km mass start,M,Gold
1960,Skiing,Cross Country S,SWE,30km mass start,M,Silver
1960,Skiing,Cross Country S,SWE,3x5km relay,W,Gold
1960,Skiing,Cross Country S,SWE,50km,M,Bronze
1960,Skating,Figure skating,TCH,individual,M,Silver
1960,Biathlon,Biathlon,URS,20km,M,Bronze
1960,Ice Hockey,Ice Hockey,URS,ice hockey,M,Bronze
1960,Skating,Speed skating,URS,10000m,M,Silver
1960,Skating,Speed skating,URS,1000m,W,Bronze
1960,Skating,Speed skating,URS,1000m,W,Gold
1960,Skating,Speed skating,URS,1500m,M,Bronze
1960,Skating,Speed skating,URS,1500m,M,Gold
1960,Skating,Speed skating,URS,1500m,W,Gold
1960,Skating,Speed skating,URS,3000m,W,Gold
1960,Skating,Speed skating,URS,3000m,W,Silver
1960,Skating,Speed skating,URS,5000m,M,Gold
1960,Skating,Speed skating,URS,500m,M,Bronze
1960,Skating,Speed skating,URS,500m,M,Gold
1960,Skating,Speed skating,URS,500m,W,Silver
1960,Skiing,Cross Country S,URS,10km,W,Bronze
1960,Skiing,Cross Country S,URS,10km,W,Gold
1960,Skiing,Cross Country S,URS,10km,W,Silver
1960,Skiing,Cross Country S,URS,30km mass start,M,Bronze
1960,Skiing,Cross Country S,URS,3x5km relay,W,Silver
1960,Skiing,Cross Country S,URS,4x10km relay,M,Bronze
1960,Skiing,Nordic Combined,URS,individual,M,Bronze
1960,Ice Hockey,Ice Hockey,USA,ice hockey,M,Gold
1960,Skating,Figure skating,USA,individual,M,Gold
1960,Skating,Figure skating,USA,individual,W,Bronze
1960,Skating,Figure skating,USA,individual,W,Gold
1960,Skating,Figure skating,USA,pairs,X,Bronze
1960,Skating,Speed skating,USA,500m,M,Silver
1960,Skating,Speed skating,USA,500m,W,Bronze
1960,Skiing,Alpine Skiing,USA,downhill,W,Silver
1960,Skiing,Alpine Skiing,USA,giant slalom,W,Silver
1960,Skiing,Alpine Skiing,USA,slalom,W,Silver
