a.year,a.category,a.actor,a.title
2002,Actress-Leading Role,Nicole Kidman,The Hours
2002,Actress-Supporting Role,Catherine Zeta-Jones,Chicago
2001,Actor-Leading Role,Denzel Washington,Training Day
2001,Actor-Supporting Role,Jim Broadbent,Iris
2001,Actress-Leading Role,Halle Berry,Monster's Ball
2001,Actress-Supporting Role,Jennifer Connelly,A Beautiful Mind
2000,Actor-Leading Role,Russell Crowe,Gladiator
2000,Actor-Supporting Role,Benicio Del Toro,Traffic
2000,Actress-Leading Role,Julia Roberts,Erin Brockovich
2000,Actress-Supporting Role,Marcia Gay Harden,Pollock
1999,Actor-Leading Role,Kevin Spacey,American Beauty
1999,Actor-Supporting Role,Michael Caine,The Cider House Rules
1999,Actress-Leading Role,Hilary Swank,Boys Don't Cry
1999,Actress-Supporting Role,Angelina Jolie,Girl Interrupted
1998,Actor-Leading Role,Roberto Benigni,Life Is Beautiful
1998,Actor-Supporting Role,James Coburn,Affliction
1998,Actress-Leading Role,Gwyneth Paltrow,Shakespeare in Love
1998,Actress-Supporting Role,Judi Dench,Shakespeare in Love
1997,Actor-Leading Role,Jack Nicholson,As Good as It Gets
1997,Actor-Supporting Role,Robin Williams,Good Will Hunting
1997,Actress-Leading Role,Helen Hunt,As Good as It Gets
1997,Actress-Supporting Role,Kim Basinger,L.A. Confidential
1996,Actor-Leading Role,Geoffrey Rush,Shine
1996,Actor-Supporting Role,Cuba Gooding Jr.,Jerry Maguire
1996,Actress-Leading Role,Frances McDormand,Fargo
1996,Actress-Supporting Role,Juliette Binoche,The English Patient
1995,Actor-Leading Role,Nicolas Cage,Leaving Las Vegas
1995,Actor-Supporting Role,Kevin Spacey,The Usual Suspects
1995,Actress-Leading Role,Susan Sarandon,Dead Man Walking
1995,Actress-Supporting Role,Mira Sorvino,Mighty Aphrodite
1994,Actor-Leading Role,Tom Hanks,Forrest Gump
1994,Actor-Supporting Role,Martin Landau,Ed Wood
1994,Actress-Leading Role,Jessica Lange,Blue Sky
1994,Actress-Supporting Role,Dianne Wiest,Bullets over Broadway
1993,Actor-Leading Role,Tom Hanks,Philadelphia
1993,Actor-Supporting Role,Tommy Lee Jones,The Fugitive
1993,Actress-Leading Role,Holly Hunter,The Piano
1993,Actress-Supporting Role,Anna Paquin,The Piano
1992,Actor-Leading Role,Al Pacino,Scent of a Woman
1992,Actor-Supporting Role,Gene Hackman,Unforgiven
1992,Actress-Leading Role,Emma Thompson,Howards End
1992,Actress-Supporting Role,Marisa Tomei,My Cousin Vinny
1991,Actor-Leading Role,Anthony Hopkins,The Silence of the Lambs
1991,Actor-Supporting Role,Jack Palance,City Slickers
1991,Actress-Leading Role,Jodie Foster,The Silence of the Lambs
1991,Actress-Supporting Role,Mercedes Ruehl,The Fisher King
1990,Actor-Leading Role,Jeremy Irons,Reversal of Fortune
1990,Actor-Supporting Role,Joe Pesci,Good Fellas
1990,Actress-Leading Role,Kathy Bates,Misery
1990,Actress-Supporting Role,Whoopi Goldberg,Ghost
1989,Actor-Leading Role,Daniel Day Lewis,My Left Foot
1989,Actor-Supporting Role,Denzel Washington,Glory
1989,Actress-Leading Role,Jessica Tandy,Driving Miss Daisy
1989,Actress-Supporting Role,Brenda Fricker,My Left Foot
1988,Actor-Leading Role,Dustin Hoffman,Rain Man
1988,Actor-Supporting Role,Kevin Kline,A Fish Called Wanda
1988,Actress-Leading Role,Jodie Foster,The Accused
1988,Actress-Supporting Role,Geena Davis,The Accidental Tourist
1987,Actor-Leading Role,Michael Douglas,Wall Street
1987,Actor-Supporting Role,Sean Connery,The Untouchables
1987,Actress-Leading Role,Cher,Moonstruck
1987,Actress-Supporting Role,Olympia Dukakis,Moonstruck
1986,Actor-Leading Role,Paul Newman,The Color of Money
1986,Actor-Supporting Role,Michael Caine,Hannah and Her Sisters
1986,Actress-Leading Role,Marlee Matlin,Children of a Lesser God
1986,Actress-Supporting Role,Dianne Wiest,Hannah and Her Sisters
1985,Actor-Leading Role,William Hurt,Kiss of the Spider Woman
1985,Actor-Supporting Role,Don Ameche,Cocoon
1985,Actress-Leading Role,Geraldine Page,The Trip to Bountiful
1985,Actress-Supporting Role,Anjelica Huston,Prizzi's Honor
1984,Actor-Leading Role,F. Murray Abraham,Amadeus
1984,Actor-Supporting Role,Haing S. Ngor,The Killing Fields
1984,Actress-Leading Role,Sally Field,Places in the Heart
1984,Actress-Supporting Role,Peggy Ashcroft,A Passage to India
1983,Actor-Leading Role,Robert Duvall,Tender Mercies
1983,Actor-Supporting Role,Jack Nicholson,Terms of Endearment
1983,Actress-Leading Role,Shirley MacLaine,Terms of Endearment
1983,Actress-Supporting Role,Linda Hunt,The Year of Living Dangerously
1982,Actor-Leading Role,Ben Kingsley,Gandhi
1982,Actor-Supporting Role,Louis Gossett Jr.,An Officer and a Gentleman
1982,Actress-Leading Role,Meryl Streep,Sophie's Choice
1982,Actress-Supporting Role,Jessica Lange,Tootsie
1981,Actor-Leading Role,Henry Fonda,On Golden Pond
1981,Actor-Supporting Role,John Gielgud,Arthur
1981,Actress-Leading Role,Katharine Hepburn,On Golden Pond
1981,Actress-Supporting Role,Maureen Stapleton,Reds
1980,Actor-Leading Role,Robert De Niro,Raging Bull
1980,Actor-Supporting Role,Timothy Hutton,Ordinary People
1980,Actress-Leading Role,Sissy Spacek,Coal Miner's Daughter
1980,Actress-Supporting Role,Mary Steenburgen,Melvin and Howard
1979,Actor-Leading Role,Dustin Hoffman,Kramer vs. Kramer
1979,Actor-Supporting Role,Melvyn Douglas,Being There
1979,Actress-Leading Role,Sally Field,Norma Rae
1979,Actress-Supporting Role,Meryl Streep,Kramer vs. Kramer
1978,Actor-Leading Role,Jon Voight,Coming Home
1978,Actor-Supporting Role,Christopher Walken,The Deer Hunter
1978,Actress-Leading Role,Jane Fonda,Coming Home
1978,Actress-Supporting Role,Maggie Smith,California Suite
1977,Actor-Leading Role,Richard Dreyfuss,The Goodbye Girl
1977,Actor-Supporting Role,Jason Robards,Julia
1977,Actress-Leading Role,Diane Keaton,Annie Hall
1977,Actress-Supporting Role,Vanessa Redgrave,Julia
1976,Actor-Leading Role,Peter Finch,Network
1976,Actor-Supporting Role,Jason Robards,All the President's Men
1976,Actress-Leading Role,Faye Dunaway,Network
1976,Actress-Supporting Role,Beatrice Straight,Network
1975,Actor-Leading Role,Jack Nicholson,One Flew over the Cuckoo's Nest
1975,Actor-Supporting Role,George Burns,The Sunshine Boys
1975,Actress-Leading Role,Louise Fletcher,One Flew over the Cuckoo's Nest
1975,Actress-Supporting Role,Lee Grant,Shampoo
1974,Actor-Leading Role,Art Carney,Harry and Tonto
1974,Actor-Supporting Role,Robert De Niro,The Godfather: Part II
1974,Actress-Leading Role,Ellen Burstyn,Alice Doesn't Live Here Anymore
1974,Actress-Supporting Role,Ingrid Bergman,Murder on the Orient Express
1973,Actor-Leading Role,Jack Lemmon,Save the Tiger
1973,Actor-Supporting Role,John Houseman,The Paper Chase
1973,Actress-Leading Role,Glenda Jackson,A Touch of Class
1973,Actress-Supporting Role,Tatum O'Neal,Paper Moon
1972,Actor-Leading Role,Marlon Brando,The Godfather
1972,Actor-Supporting Role,Joel Grey,Cabaret
1972,Actress-Leading Role,Liza Minnelli,Cabaret
1972,Actress-Supporting Role,Eileen Heckart,Butterflies Are Free
1971,Actor-Leading Role,Gene Hackman,The French Connection
1971,Actor-Supporting Role,Ben Johnson,The Last Picture Show
1971,Actress-Leading Role,Jane Fonda,Klute
1971,Actress-Supporting Role,Cloris Leachman,The Last Picture Show
1970,Actor-Leading Role,George C. Scott,Patton
1970,Actor-Supporting Role,John Mills,Ryan's Daughter
1970,Actress-Leading Role,Glenda Jackson,Women in Love
1970,Actress-Supporting Role,Helen Hayes,Airport
1969,Actor-Leading Role,John Wayne,True Grit
1969,Actor-Supporting Role,Gig Young,They Shoot Horses Don't They?
1969,Actress-Leading Role,Maggie Smith,The Prime of Miss Jean Brodie
1969,Actress-Supporting Role,Goldie Hawn,Cactus Flower
1968,Actor-Leading Role,Cliff Robertson,Charly
1968,Actor-Supporting Role,Jack Albertson,The Subject Was Roses
1968,Actress-Leading Role,Katharine Hepburn,The Lion in Winter
1968,Actress-Leading Role,Barbra Streisand,Funny Girl
1968,Actress-Supporting Role,Ruth Gordon,Rosemary's Baby
1967,Actor-Leading Role,Rod Steiger,In the Heat of the Night
1967,Actor-Supporting Role,George Kennedy,Cool Hand Luke
1967,Actress-Leading Role,Katharine Hepburn,Guess Who's Coming to Dinner
1967,Actress-Supporting Role,Estelle Parsons,Bonnie and Clyde
1966,Actor-Leading Role,Paul Scofield,A Man for All Seasons
1966,Actor-Supporting Role,Walter Matthau,The Fortune Cookie
1966,Actress-Leading Role,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1966,Actress-Supporting Role,Sandy Dennis,Who's Afraid of Virginia Woolf?
1965,Actor-Leading Role,Lee Marvin,Cat Ballou
1965,Actor-Supporting Role,Martin Balsam,A Thousand Clowns
1965,Actress-Leading Role,Julie Christie,Darling
1965,Actress-Supporting Role,Shelley Winters,A Patch of Blue
1964,Actor-Leading Role,Rex Harrison,My Fair Lady
1964,Actor-Supporting Role,Peter Ustinov,Topkapi
1964,Actress-Leading Role,Julie Andrews,Mary Poppins
1964,Actress-Supporting Role,Lila Kedrova,Zorba the Greek
1963,Actor-Leading Role,Sidney Poitier,Lilies of the Field
1963,Actor-Supporting Role,Melvyn Douglas,Hud
1963,Actress-Leading Role,Patricia Neal,Hud
1963,Actress-Supporting Role,Margaret Rutherford,The V.I.P.s
1962,Actor-Leading Role,Gregory Peck,To Kill a Mockingbird
1962,Actor-Supporting Role,Ed Begley,Sweet Bird of Youth
1962,Actress-Leading Role,Anne Bancroft,The Miracle Worker
1962,Actress-Supporting Role,Patty Duke,The Miracle Worker
1961,Actor-Leading Role,Maximilian Schell,Judgment at Nuremberg
1961,Actor-Supporting Role,George Chakiris,West Side Story
1961,Actress-Leading Role,Sophia Loren,Two Women
1961,Actress-Supporting Role,Rita Moreno,West Side Story
1960,Actor-Leading Role,Burt Lancaster,Elmer Gantry
1960,Actor-Supporting Role,Peter Ustinov,Spartacus
1960,Actress-Leading Role,Elizabeth Taylor,Butterfield 8
1960,Actress-Supporting Role,Shirley Jones,Elmer Gantry
1959,Actor-Leading Role,Charlton Heston,Ben-Hur
1959,Actor-Supporting Role,Hugh Griffith,Ben-Hur
1959,Actress-Leading Role,Simone Signoret,Room at the Top
1959,Actress-Supporting Role,Shelley Winters,The Diary of Anne Frank
1958,Actor-Leading Role,David Niven,Separate Tables
1958,Actor-Supporting Role,Burl Ives,The Big Country
1958,Actress-Leading Role,Susan Hayward,I Want to Live!
1958,Actress-Supporting Role,Wendy Hiller,Separate Tables
1957,Actor-Leading Role,Alec Guinness,The Bridge on the River Kwai
1957,Actor-Supporting Role,Red Buttons,Sayonara
1957,Actress-Leading Role,Joanne Woodward,The Three Faces of Eve
1957,Actress-Supporting Role,Miyoshi Umeki,Sayonara
1956,Actor-Leading Role,Yul Brynner,The King and I
1956,Actor-Supporting Role,Anthony Quinn,Lust for Life
1956,Actress-Leading Role,Ingrid Bergman,Anastasia
1956,Actress-Supporting Role,Dorothy Malone,Written on the Wind
1955,Actor-Leading Role,Ernest Borgnine,Marty
1955,Actor-Supporting Role,Jack Lemmon,Mister Roberts
1955,Actress-Leading Role,Anna Magnani,The Rose Tattoo
1955,Actress-Supporting Role,Jo Van Fleet,East of Eden
1954,Actor-Leading Role,Marlon Brando,On the Waterfront
1954,Actor-Supporting Role,Edmond O'Brien,The Barefoot Contessa
1954,Actress-Leading Role,Grace Kelly,The Country Girl
1954,Actress-Supporting Role,Eva Marie Saint,On the Waterfront
1953,Actor-Leading Role,William Holden,Stalag 17
1953,Actor-Supporting Role,Frank Sinatra,From Here to Eternity
1953,Actress-Leading Role,Audrey Hepburn,Roman Holiday
1953,Actress-Supporting Role,Donna Reed,From Here to Eternity
1952,Actor-Leading Role,Gary Cooper,High Noon
1952,Actor-Supporting Role,Anthony Quinn,Viva Zapata!
1952,Actress-Leading Role,Shirley Booth,Come Back Little Sheba
1952,Actress-Supporting Role,Gloria Grahame,The Bad and the Beautiful
1951,Actor-Leading Role,Humphrey Bogart,The African Queen
1951,Actor-Supporting Role,Karl Malden,A Streetcar Named Desire
1951,Actress-Leading Role,Vivien Leigh,A Streetcar Named Desire
1951,Actress-Supporting Role,Kim Hunter,A Streetcar Named Desire
1950,Actor-Leading Role,Jose Ferrer,Cyrano de Bergerac
1950,Actor-Supporting Role,George Sanders,All about Eve
1950,Actress-Leading Role,Judy Holliday,Born Yesterday
1950,Actress-Supporting Role,Josephine Hull,Harvey
1949,Actor-Leading Role,Broderick Crawford,All the King's Men
1949,Actor-Supporting Role,Dean Jagger,Twelve O'Clock High
1949,Actress-Leading Role,Olivia de Havilland,The Heiress
1949,Actress-Supporting Role,Mercedes McCambridge,All the King's Men
1948,Actor-Leading Role,Laurence Olivier,Hamlet
1948,Actor-Supporting Role,Walter Huston,The Treasure of the Sierra Madre
1948,Actress-Leading Role,Jane Wyman,Johnny Belinda
1948,Actress-Supporting Role,Claire Trevor,Key Largo
1947,Actor-Leading Role,Ronald Colman,A Double Life
1947,Actor-Supporting Role,Edmund Gwenn,Miracle on 34th Street
1947,Actress-Leading Role,Loretta Young,The Farmer's Daughter
1947,Actress-Supporting Role,Celeste Holm,Gentleman's Agreement
1946,Actor-Leading Role,Fredric March,The Best Years of Our Lives
1946,Actor-Supporting Role,Harold Russell,The Best Years of Our Lives
1946,Actress-Leading Role,Olivia de Havilland,To Each His Own
1946,Actress-Supporting Role,Anne Baxter,The Razor's Edge
1945,Actor-Leading Role,Ray Milland,The Lost Weekend
1945,Actor-Supporting Role,James Dunn,A Tree Grows in Brooklyn
1945,Actress-Leading Role,Joan Crawford,Mildred Pierce
1945,Actress-Supporting Role,Anne Revere,National Velvet
1944,Actor-Leading Role,Bing Crosby,Going My Way
1944,Actor-Supporting Role,Barry Fitzgerald,Going My Way
1944,Actress-Leading Role,Ingrid Bergman,Gaslight
1944,Actress-Supporting Role,Ethel Barrymore,None but the Lonely Heart
1943,Actor-Leading Role,Paul Lukas,Watch on the Rhine
1943,Actor-Supporting Role,Charles Coburn,The More the Merrier
1943,Actress-Leading Role,Jennifer Jones,The Song of Bernadette
1943,Actress-Supporting Role,Katina Paxinou,For Whom the Bell Tolls
1942,Actor-Leading Role,James Cagney,Yankee Doodle Dandy
1942,Actor-Supporting Role,Van Heflin,Johnny Eager
1942,Actress-Leading Role,Greer Garson,Mrs. Miniver
1942,Actress-Supporting Role,Teresa Wright,Mrs. Miniver
1941,Actor-Leading Role,Gary Cooper,Sergeant York
1941,Actor-Supporting Role,Donald Crisp,How Green Was My Valley
1941,Actress-Leading Role,Joan Fontaine,Suspicion
1941,Actress-Supporting Role,Mary Astor,The Great Lie
1940,Actor-Leading Role,James Stewart,The Philadelphia Story
1940,Actor-Supporting Role,Walter Brennan,The Westerner
1940,Actress-Leading Role,Ginger Rogers,Kitty Foyle
1940,Actress-Supporting Role,Jane Darwell,The Grapes of Wrath
1939,Actor-Leading Role,Robert Donat,Goodbye Mr. Chips
1939,Actor-Supporting Role,Thomas Mitchell,Stagecoach
1939,Actress-Leading Role,Vivien Leigh,Gone with the Wind
1939,Actress-Supporting Role,Hattie McDaniel,Gone with the Wind
1938,Actor-Leading Role,Spencer Tracy,Boys Town
1938,Actor-Supporting Role,Walter Brennan,Kentucky
1938,Actress-Leading Role,Bette Davis,Jezebel
1938,Actress-Supporting Role,Fay Bainter,Jezebel
1937,Actor-Leading Role,Spencer Tracy,Captains Courageous
1937,Actor-Supporting Role,Joseph Schildkraut,The Life of Emile Zola
1937,Actress-Leading Role,Luise Rainer,The Good Earth
1937,Actress-Supporting Role,Alice Brady,In Old Chicago
1936,Actor-Leading Role,Paul Muni,The Story of Louis Pasteur
1936,Actor-Supporting Role,Walter Brennan,Come and Get It
1936,Actress-Leading Role,Luise Rainer,The Great Ziegfeld
1936,Actress-Supporting Role,Gale Sondergaard,Anthony Adverse
1935,Actor-Leading Role,Victor McLaglen,The Informer
1935,Actress-Leading Role,Bette Davis,Dangerous
1934,Actor-Leading Role,Clark Gable,It Happened One Night
1934,Actress-Leading Role,Claudette Colbert,It Happened One Night
1932,Actor-Leading Role,Charles Laughton,The Private Life of Henry VIII
1932,Actress-Leading Role,Katharine Hepburn,Morning Glory
1931,Actor-Leading Role,Wallace Beery,The Champ
1931,Actor-Leading Role,Fredric March,Dr. Jekyll and Mr. Hyde
1931,Actress-Leading Role,Helen Hayes,The Sin of Madelon Claudet
1930,Actor-Leading Role,Lionel Barrymore,A Free Soul
1930,Actress-Leading Role,Marie Dressler,Min and Bill
1929,Actor-Leading Role,George Arliss,Disraeli
1929,Actress-Leading Role,Norma Shearer,The Divorcee
1928,Actor-Leading Role,Warner Baxter,In Old Arizona
1928,Actress-Leading Role,Mary Pickford,Coquette
1927,Actor-Leading Role,Emil Jannings,The Last Command
1927,Actress-Leading Role,Janet Gaynor,7th Heaven
